2026-03-15 01:59:45 | INFO | application.py:133 | start | Init ReMe with config: {"backend":"","app_name":"ReMe","working_dir":"/Users/piter/.copaw","enable_logo":false,"language":"","thread_pool_max_workers":16,"ray_max_workers":-1,"log_to_console":false,"disabled_flows":[],"enabled_flows":[],"mcp_servers":{},"mcp":{"transport":"stdio","host":"0.0.0.0","port":8001},"http":{"host":"0.0.0.0","port":8001,"timeout_keep_alive":3600,"limit_concurrency":1000},"cmd":{"flow":""},"ops":{},"flows":{},"as_llms":{"default":{"backend":"openai","model_name":"qwen3.5-plus"}},"as_llm_formatters":{"default":{"backend":"openai"}},"llms":{},"embedding_models":{"default":{"backend":"openai","model_name":"","dimensions":1024,"use_dimensions":false,"enable_cache":true,"max_batch_size":10,"max_cache_size":2000,"max_input_length":8192}},"vector_stores":{},"file_stores":{"default":{"backend":"chroma","embedding_model":"default","store_name":"copaw","vector_enabled":false,"fts_enabled":true}},"token_counters":{},"file_watchers":{"default":{"backend":"full","file_store":"default","watch_paths":["/Users/piter/.copaw/MEMORY.md","/Users/piter/.copaw/memory.md","/Users/piter/.copaw/memory"],"suffix_filters":[".md"],"recursive":false,"scan_on_start":true}},"metadata":{}}
2026-03-15 01:59:45 | INFO | base_embedding_model.py:169 | _load_cache | No cache file found at /Users/piter/.copaw/embedding_cache/embedding_cache.jsonl, starting with empty cache
2026-03-15 01:59:45 | INFO | chroma_file_store.py:135 | start | ChromaDB initialized with collection: chunks_copaw
2026-03-15 01:59:45 | INFO | chroma_file_store.py:136 | start | File metadata will be persisted to: /Users/piter/.copaw/copaw_file_metadata.json
2026-03-15 01:59:45 | INFO | base_file_watcher.py:137 | _scan_existing_files | [SCAN_ON_START] Found 10 existing files matching watch criteria
2026-03-15 01:59:45 | INFO | chroma_file_store.py:623 | clear_all | Cleared all data from ChromaDB collection: chunks_copaw
2026-03-15 01:59:45 | INFO | full_file_watcher.py:67 | _on_changes | delete_file /Users/piter/.copaw/memory/TOKEN-OPTIMIZATION.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:70 | _on_changes | Upserted 16 chunks for /Users/piter/.copaw/memory/TOKEN-OPTIMIZATION.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:79 | _on_changes | File 1 changed: /Users/piter/.copaw/memory/TOKEN-OPTIMIZATION.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:67 | _on_changes | delete_file /Users/piter/.copaw/memory.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:70 | _on_changes | Upserted 3 chunks for /Users/piter/.copaw/memory.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:79 | _on_changes | File 1 changed: /Users/piter/.copaw/memory.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:67 | _on_changes | delete_file /Users/piter/.copaw/memory/2025-01-06.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:70 | _on_changes | Upserted 1 chunks for /Users/piter/.copaw/memory/2025-01-06.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:79 | _on_changes | File 1 changed: /Users/piter/.copaw/memory/2025-01-06.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:67 | _on_changes | delete_file /Users/piter/.copaw/memory/2026-03-15.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:70 | _on_changes | Upserted 6 chunks for /Users/piter/.copaw/memory/2026-03-15.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:79 | _on_changes | File 1 changed: /Users/piter/.copaw/memory/2026-03-15.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:67 | _on_changes | delete_file /Users/piter/.copaw/memory/GUIDA-LECTURA-ARCHIVOS.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:70 | _on_changes | Upserted 5 chunks for /Users/piter/.copaw/memory/GUIDA-LECTURA-ARCHIVOS.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:79 | _on_changes | File 1 changed: /Users/piter/.copaw/memory/GUIDA-LECTURA-ARCHIVOS.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:67 | _on_changes | delete_file /Users/piter/.copaw/memory/2026-03-13.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:70 | _on_changes | Upserted 6 chunks for /Users/piter/.copaw/memory/2026-03-13.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:79 | _on_changes | File 1 changed: /Users/piter/.copaw/memory/2026-03-13.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:67 | _on_changes | delete_file /Users/piter/.copaw/MEMORY.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:70 | _on_changes | Upserted 3 chunks for /Users/piter/.copaw/MEMORY.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:79 | _on_changes | File 1 changed: /Users/piter/.copaw/MEMORY.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:67 | _on_changes | delete_file /Users/piter/.copaw/memory/CHECKLIST-CONTEXTO.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:70 | _on_changes | Upserted 6 chunks for /Users/piter/.copaw/memory/CHECKLIST-CONTEXTO.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:79 | _on_changes | File 1 changed: /Users/piter/.copaw/memory/CHECKLIST-CONTEXTO.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:67 | _on_changes | delete_file /Users/piter/.copaw/memory/CONSOLIDACION-CONFIGURACION.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:70 | _on_changes | Upserted 13 chunks for /Users/piter/.copaw/memory/CONSOLIDACION-CONFIGURACION.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:79 | _on_changes | File 1 changed: /Users/piter/.copaw/memory/CONSOLIDACION-CONFIGURACION.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:67 | _on_changes | delete_file /Users/piter/.copaw/memory/CACHE-USAGE-GUIDE.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:70 | _on_changes | Upserted 5 chunks for /Users/piter/.copaw/memory/CACHE-USAGE-GUIDE.md
2026-03-15 01:59:45 | INFO | full_file_watcher.py:79 | _on_changes | File 1 changed: /Users/piter/.copaw/memory/CACHE-USAGE-GUIDE.md
2026-03-15 01:59:45 | INFO | base_file_watcher.py:212 | on_changes | [FullFileWatcher] on_changes: {(<Change.added: 1>, '/Users/piter/.copaw/memory/TOKEN-OPTIMIZATION.md'), (<Change.added: 1>, '/Users/piter/.copaw/memory.md'), (<Change.added: 1>, '/Users/piter/.copaw/memory/2025-01-06.md'), (<Change.added: 1>, '/Users/piter/.copaw/memory/2026-03-15.md'), (<Change.added: 1>, '/Users/piter/.copaw/memory/GUIDA-LECTURA-ARCHIVOS.md'), (<Change.added: 1>, '/Users/piter/.copaw/memory/2026-03-13.md'), (<Change.added: 1>, '/Users/piter/.copaw/MEMORY.md'), (<Change.added: 1>, '/Users/piter/.copaw/memory/CHECKLIST-CONTEXTO.md'), (<Change.added: 1>, '/Users/piter/.copaw/memory/CONSOLIDACION-CONFIGURACION.md'), (<Change.added: 1>, '/Users/piter/.copaw/memory/CACHE-USAGE-GUIDE.md')}
2026-03-15 01:59:45 | INFO | base_file_watcher.py:139 | _scan_existing_files | [SCAN_ON_START] Added 10 files to memory store
2026-03-15 01:59:45 | INFO | base_file_watcher.py:147 | _scan_existing_files | Found existing file: /Users/piter/.copaw/memory/TOKEN-OPTIMIZATION.md, 16 chunks
2026-03-15 01:59:45 | INFO | base_file_watcher.py:147 | _scan_existing_files | Found existing file: /Users/piter/.copaw/memory.md, 3 chunks
2026-03-15 01:59:45 | INFO | base_file_watcher.py:147 | _scan_existing_files | Found existing file: /Users/piter/.copaw/memory/2025-01-06.md, 1 chunks
2026-03-15 01:59:45 | INFO | base_file_watcher.py:147 | _scan_existing_files | Found existing file: /Users/piter/.copaw/memory/2026-03-15.md, 6 chunks
2026-03-15 01:59:45 | INFO | base_file_watcher.py:147 | _scan_existing_files | Found existing file: /Users/piter/.copaw/memory/GUIDA-LECTURA-ARCHIVOS.md, 5 chunks
2026-03-15 01:59:45 | INFO | base_file_watcher.py:147 | _scan_existing_files | Found existing file: /Users/piter/.copaw/memory/2026-03-13.md, 6 chunks
2026-03-15 01:59:45 | INFO | base_file_watcher.py:147 | _scan_existing_files | Found existing file: /Users/piter/.copaw/MEMORY.md, 3 chunks
2026-03-15 01:59:45 | INFO | base_file_watcher.py:147 | _scan_existing_files | Found existing file: /Users/piter/.copaw/memory/CHECKLIST-CONTEXTO.md, 6 chunks
2026-03-15 01:59:45 | INFO | base_file_watcher.py:147 | _scan_existing_files | Found existing file: /Users/piter/.copaw/memory/CONSOLIDACION-CONFIGURACION.md, 13 chunks
2026-03-15 01:59:45 | INFO | base_file_watcher.py:147 | _scan_existing_files | Found existing file: /Users/piter/.copaw/memory/CACHE-USAGE-GUIDE.md, 5 chunks
